title_company;content;thumbnail;adr_title;adr_url;adr_target;about_company;related_companies;tags;boss;payments;services_list;additional_information;seo;gallery;news;contacts_fax;contacts_phone;contacts_comment-to-phone;emails-group_email;emails-group_comment-to-email;connectivity_options_options_list;connectivity_options_comment-to-option;links_link;social_links_social_link;social_links_social_lists
Аптека „Надія”, КП «Ліки України»;"? Комунальне підприємство «Ліки України» – найпотужніший учасник фармацевтичного ринку Чернігівської області, що має більш ніж 75 – річну історію;

? Основним завданням для підприємства є забезпечення населення та лікувально – профілактичні заклади лікарськими засобами належної якості;

? На сьогодні КП «Ліки України» єдине в Чернігівській області підприємство, яке має структурні підрозділи в усіх районах області. Періодично відкриваються нові сільські аптечні пункти;

? КП «Ліки України» єдине в області аптечне підприємство, що має найбільший асортимент лікарських засобів завдяки чому може надати повний спектр медикаментозних послуг населенню і лікувально – профілактичних закладам;

? Характерна ознака підприємства – соціальна спрямованість. Це видно по мінімальним цінам та соціальним програмам, що постійно впроваджуються в нашій мережі.

? На підприємстві працює більше 600 чоловік, серед яких майже 440 висококваліфікованих фахівців фармацевтичної справи. Адміністрація та працівники КП «Ліки України» наполегливо працюють на благо населення області займаючись нелегкою справою медикаментозного забезпечення жителів Чернігівщини.";;г. Чернигов, просп. Мира, 89А;https://goo.gl/maps/kxbgFLgr3EMzuPBJ6;;"? Комунальне підприємство «Ліки України» – найпотужніший учасник фармацевтичного ринку Чернігівської області, що має більш ніж 75 – річну історію;

? Основним завданням для підприємства є забезпечення населення та лікувально – профілактичні заклади лікарськими засобами належної якості;

? На сьогодні КП «Ліки України» єдине в Чернігівській області підприємство, яке має структурні підрозділи в усіх районах області. Періодично відкриваються нові сільські аптечні пункти;

? КП «Ліки України» єдине в області аптечне підприємство, що має найбільший асортимент лікарських засобів завдяки чому може надати повний спектр медикаментозних послуг населенню і лікувально – профілактичних закладам;

? Характерна ознака підприємства – соціальна спрямованість. Це видно по мінімальним цінам та соціальним програмам, що постійно впроваджуються в нашій мережі.

? На підприємстві працює більше 600 чоловік, серед яких майже 440 висококваліфікованих фахівців фармацевтичної справи. Адміністрація та працівники КП «Ліки України» наполегливо працюють на благо населення області займаючись нелегкою справою медикаментозного забезпечення жителів Чернігівщини.";;;;;;"Комунальне підприємство ""Ліки України"" Чернігівської обласної ради.
Знаходиться в структурі міжлікарняної аптеки №206.";;;;;;;;;;;;;
"Аптека №1 (ТОВ ""Акцент-Фарм"")";;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_528a365546ea2.png;г. Чернигов, ул. Шевченко, 27;https://goo.gl/maps/s7tfBbFssy6gE2Fr5;;;;;;;;"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">5% скидка на медикаменты для инвалидов и пенсионеров</div>
</div>
</div>
</div>";;;;;;;;;;;;;
Сальвия (Аптека №3);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_4b30e29088dce.gif;г. Чернигов, просп. Мира, 194;https://goo.gl/maps/UhSAxUkiZFDUr4287;;;;;;;;;;;;;;;;;;;;;
Фитоцентр №3 (Аптека);"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Комплексное облуживание. Фитопрепараты, космецевтика, детская группа товаров.</div>
</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_52d3dd1acbe44.png;г. Чернигов, ул. 1-го Мая, 180 Территория вет. клиники;https://goo.gl/maps/kicicA3zC8gDyHJk7;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Комплексное облуживание. Фитопрепараты, космецевтика, детская группа товаров.</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
Аптека №191 (КП «Ліки України»);"? Комунальне підприємство «Ліки України» – найпотужніший учасник фармацевтичного ринку Чернігівської області, що має більш ніж 75 – річну історію;

? Основним завданням для підприємства є забезпечення населення та лікувально – профілактичні заклади лікарськими засобами належної якості;

? На сьогодні КП «Ліки України» єдине в Чернігівській області підприємство, яке має структурні підрозділи в усіх районах області. Періодично відкриваються нові сільські аптечні пункти;

? КП «Ліки України» єдине в області аптечне підприємство, що має найбільший асортимент лікарських засобів завдяки чому може надати повний спектр медикаментозних послуг населенню і лікувально – профілактичних закладам;

? Характерна ознака підприємства – соціальна спрямованість. Це видно по мінімальним цінам та соціальним програмам, що постійно впроваджуються в нашій мережі.

? На підприємстві працює більше 600 чоловік, серед яких майже 440 висококваліфікованих фахівців фармацевтичної справи. Адміністрація та працівники КП «Ліки України» наполегливо працюють на благо населення області займаючись нелегкою справою медикаментозного забезпечення жителів Чернігівщини.";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, ул. Пирогова, 16;https://goo.gl/maps/kVBecxWaDJo3E5KM8;;"? Комунальне підприємство «Ліки України» – найпотужніший учасник фармацевтичного ринку Чернігівської області, що має більш ніж 75 – річну історію;

? Основним завданням для підприємства є забезпечення населення та лікувально – профілактичні заклади лікарськими засобами належної якості;

? На сьогодні КП «Ліки України» єдине в Чернігівській області підприємство, яке має структурні підрозділи в усіх районах області. Періодично відкриваються нові сільські аптечні пункти;

? КП «Ліки України» єдине в області аптечне підприємство, що має найбільший асортимент лікарських засобів завдяки чому може надати повний спектр медикаментозних послуг населенню і лікувально – профілактичних закладам;

? Характерна ознака підприємства – соціальна спрямованість. Це видно по мінімальним цінам та соціальним програмам, що постійно впроваджуються в нашій мережі.

? На підприємстві працює більше 600 чоловік, серед яких майже 440 висококваліфікованих фахівців фармацевтичної справи. Адміністрація та працівники КП «Ліки України» наполегливо працюють на благо населення області займаючись нелегкою справою медикаментозного забезпечення жителів Чернігівщини.";;;;;;;;;;;;;;;;;;;
Аптека №191 (КП «Ліки України»);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_52d7d95945385.png;г. Чернигов, ул. 1-ой Гвардейской Армии, 4;https://goo.gl/maps/Qi3Mr5XcPcNc7j3C8;;;;;;;;;;;;;;;;;;;;;
Аптека №25, КП «Ліки України»;"? Комунальне підприємство «Ліки України» – найпотужніший учасник фармацевтичного ринку Чернігівської області, що має більш ніж 75 – річну історію;

? Основним завданням для підприємства є забезпечення населення та лікувально – профілактичні заклади лікарськими засобами належної якості;

? На сьогодні КП «Ліки України» єдине в Чернігівській області підприємство, яке має структурні підрозділи в усіх районах області. Періодично відкриваються нові сільські аптечні пункти;

? КП «Ліки України» єдине в області аптечне підприємство, що має найбільший асортимент лікарських засобів завдяки чому може надати повний спектр медикаментозних послуг населенню і лікувально – профілактичних закладам;

? Характерна ознака підприємства – соціальна спрямованість. Це видно по мінімальним цінам та соціальним програмам, що постійно впроваджуються в нашій мережі.

? На підприємстві працює більше 600 чоловік, серед яких майже 440 висококваліфікованих фахівців фармацевтичної справи. Адміністрація та працівники КП «Ліки України» наполегливо працюють на благо населення області займаючись нелегкою справою медикаментозного забезпечення жителів Чернігівщини.";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, просп. Мира, 20;https://goo.gl/maps/zjwbY3N5egJfbfE3A;;"? Комунальне підприємство «Ліки України» – найпотужніший учасник фармацевтичного ринку Чернігівської області, що має більш ніж 75 – річну історію;

? Основним завданням для підприємства є забезпечення населення та лікувально – профілактичні заклади лікарськими засобами належної якості;

? На сьогодні КП «Ліки України» єдине в Чернігівській області підприємство, яке має структурні підрозділи в усіх районах області. Періодично відкриваються нові сільські аптечні пункти;

? КП «Ліки України» єдине в області аптечне підприємство, що має найбільший асортимент лікарських засобів завдяки чому може надати повний спектр медикаментозних послуг населенню і лікувально – профілактичних закладам;

? Характерна ознака підприємства – соціальна спрямованість. Це видно по мінімальним цінам та соціальним програмам, що постійно впроваджуються в нашій мережі.

? На підприємстві працює більше 600 чоловік, серед яких майже 440 висококваліфікованих фахівців фармацевтичної справи. Адміністрація та працівники КП «Ліки України» наполегливо працюють на благо населення області займаючись нелегкою справою медикаментозного забезпечення жителів Чернігівщини.";;;;;"Аптека
У приміщенні аптеки функціонує музей";;;;;;;;;;;;;;
"ООО ""Эскулап"" (Аптека)";"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Продажа медикаментов</div>
</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_52e6480113ac6.png;г. Чернигов, ул. Пухова, 142;https://goo.gl/maps/esFEHnWPVpdGvLco8;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Продажа медикаментов</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
Айболит (Аптека);"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Аптека</div>
</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_52e6480113ac6.png;г. Чернигов, ул. Еськова, 10;https://goo.gl/maps/C3P4bebudn1GwEbS8;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Аптека</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
Аптека №77, Аптечний пункт № 2, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, ул. 1-го Мая, 172 1-й этаж, Роддом;https://goo.gl/maps/5tiMBFf5tCymMJNt8;;;;;;;;;;;;;;;;;;;;;
Аптека №208, Аптечний пункт № 3, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, ул. Шевченко, 160;https://goo.gl/maps/ciQitgJjw2RrjTnk8;;;;;;;;;;;;;;;;;;;;;
Аптека №208, Аптечний пункт № 4, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, ул. Шевченко, 114;https://goo.gl/maps/6Y2Ge5z7w5YHrzrp8;;;;;;;;;;;;;;;;;;;;;
Аптечний пункт № 191/6, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, ул. Рокоссовского, 47;https://goo.gl/maps/JA5cQ2zx13CSK4Eo7;;;;;;;;;;;;;;;;;;;;;
Аптека №210, Аптечний пункт № 1, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, ул. Волковича, 25;https://goo.gl/maps/wc7n6AUMhX3EdPTg6;;;;;;;;;;;;;;;;;;;;;
Аптека №191, Аптечний пункт № 4, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, ул. Вячеслава Чорновола (ул. Войкова), 24;https://goo.gl/maps/juK9F7oT4rqTxGH6A;;;;;;;;;;;;;;;;;;;;;
Аптека №206, Аптечний пункт № 2, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, ул. 1-го Мая, 168;https://goo.gl/maps/MndrXgbfw7kX1py67;;;;;;;;;;;;;;;;;;;;;
Аптека №206, Аптечний пункт № 3, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, просп. Мира, 211;https://goo.gl/maps/jmwzDgpYLXmAWUZh6;;;;;;;;;;;;;;;;;;;;;
Аптека №206, Аптечний пункт № 4, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, просп. Мира, 221 Тубдиспанцер;https://goo.gl/maps/uiMDp2tnsyKfg1eR7;;;;;;;;;;;;;;;;;;;;;
Аптека №210, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, просп. Мира, 217;https://goo.gl/maps/qxqMDwrVB2Gs3pDZ9;;;;;;;;;;;;;;;;;;;;;
Аптека №208, Аптечний пункт № 1, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, ул. 1-го Мая, 170;https://goo.gl/maps/kicicA3zC8gDyHJk7;;;;;;;;;;;;;;;;;;;;;
Аптека №208, Аптечний пункт № 1, КП «Ліки України»;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5c0109ef2700d.png;г. Чернигов, ул. Защитников Украины (ул. Одинцова), 22;https://goo.gl/maps/PE9ySdcFUbjMPurZ8;;;;;;;;;;;;;;;;;;;;;
"Аптека №2 (ТОВ ""ФФ ""Акбофарм"")";;;г. Чернигов, ул. Красносельского, 73а;https://goo.gl/maps/xjnPvT6wjRypx7e16;;;;;;;"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">Аптека</div>
</div>
</div>
</div>";;;;;;;;;;;;;;
«Аптека низких цен» (Аптека);"«Аптека низких цен» и «Социальный проект «Аптека «Благодия» — сеть аптек, основанная в 2000 г., сегодня представляет собой команду профессионалов, во главе которой стоят высококвалифицированные топ-менеджеры, имеющие за плечами бесценный опыт успешного создания, а также развития крупных аптечных сетей. Первая аптека была открыта в Запорожье, а сегодня спустя всего 13 лет, наша сеть насчитывает более двухсот аптек.

Сегодня можно смело говорить о том, что сеть аптек «Аптека низких цен» — это один из самых ярких и успешных брендов отечественного аптечного сектора, развитие которого осуществляется динамично и уверенно. Наш фирменный логотип можно увидеть в Киеве, Харькове, Одессе, Днепропетровске, Запорожье и других городах Украины.

Сеть аптек представлена широким выбором форматов, начиная от аптечных пунктов в областных центрах, и продолжая имиджевыми аптеками, расположенными в столице, способными удовлетворить даже самых взыскательных потребителей.

Широкий ассортимент сети аптек Аптека низких цен представлен более 16 000 наименований высококачественной продукции, которая соответствует самым высоким стандартам";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5333fe5f72e8a.png;г. Чернигов, ул. Рокоссовского, 62;https://goo.gl/maps/rQbkqzby3MWVGQZX7;;"«Аптека низких цен» и «Социальный проект «Аптека «Благодия» — сеть аптек, основанная в 2000 г., сегодня представляет собой команду профессионалов, во главе которой стоят высококвалифицированные топ-менеджеры, имеющие за плечами бесценный опыт успешного создания, а также развития крупных аптечных сетей. Первая аптека была открыта в Запорожье, а сегодня спустя всего 13 лет, наша сеть насчитывает более двухсот аптек.

Сегодня можно смело говорить о том, что сеть аптек «Аптека низких цен» — это один из самых ярких и успешных брендов отечественного аптечного сектора, развитие которого осуществляется динамично и уверенно. Наш фирменный логотип можно увидеть в Киеве, Харькове, Одессе, Днепропетровске, Запорожье и других городах Украины.

Сеть аптек представлена широким выбором форматов, начиная от аптечных пунктов в областных центрах, и продолжая имиджевыми аптеками, расположенными в столице, способными удовлетворить даже самых взыскательных потребителей.

Широкий ассортимент сети аптек Аптека низких цен представлен более 16 000 наименований высококачественной продукции, которая соответствует самым высоким стандартам";;;;;"Мы предлагаем:
? Качество товаров — поставки от производителей и национальных дистрибьюторов.
? Сервис — индивидуальный подход к каждому клиенту, консультации в зале, профессиональное обслуживание, подтверждение репутации настоящего провизора.
? Полный ассортимент для гармонии и здоровья всей семьи, с учетом особенности потребностей клиентов каждой аптеки, каждого района и региона.
? Выгодные предложения и программы для покупателей: акции с подарками, тестинг-компании, косметические мастер-классы, эксклюзивные тематические проекты, ко-брендинговые программы по предоставлению услуг для сохранения и поддержания здоровья.
? Цены — честные и доступные для всех.";"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">В сети работает около 1500 человек, 95 % сотрудников имеют высшее фармацевтическое образование.</div>
</div>
</div>
</div>";;;;;;;;;;;;;
АПТЕКА ОПТОВЫХ ЦЕН (Аптека);"«АПТЕКА ОПТОВЫХ ЦЕН» -социально ориентированный бренд аптечной сети.

Основанная в 2012 сеть «Аптеки оптовых цен» активно развивается на фармацевтическом рынке Украины. В настоящее время сеть насчитывает порядка 60 аптек.

Аптеки оптовых цен расположены в Харьковской, Киевской, Полтавской, Сумской, Днепропетровской, Житомирской, Черниговской областях. Стратегия развития сети предусматривает не только увеличение количества аптек, но и расширение их географии на территории Украины.

ОСНОВНОЙ ПРИНЦИП РАБОТЫ «Аптек оптовых цен» -широкий ассортимент и максимально доступные цены.

МИНИМАЛЬНЫЙ УРОВЕНЬ НАЦЕНКИ, а также оптовые цены на медикаменты при покупке от трех единиц одного товара- главные преимущества работы Аптек оптовых цен.

Наша задача - удовлетворить потребность каждого покупателя в средствах лечения и профилактики заболеваний.";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_56d594f7ee04f.png;г. Чернигов, просп. Победы, 82;https://goo.gl/maps/gimrm95e7G6Rj5JY7;;"«АПТЕКА ОПТОВЫХ ЦЕН» -социально ориентированный бренд аптечной сети.

Основанная в 2012 сеть «Аптеки оптовых цен» активно развивается на фармацевтическом рынке Украины. В настоящее время сеть насчитывает порядка 60 аптек.

Аптеки оптовых цен расположены в Харьковской, Киевской, Полтавской, Сумской, Днепропетровской, Житомирской, Черниговской областях. Стратегия развития сети предусматривает не только увеличение количества аптек, но и расширение их географии на территории Украины.

ОСНОВНОЙ ПРИНЦИП РАБОТЫ «Аптек оптовых цен» -широкий ассортимент и максимально доступные цены.

МИНИМАЛЬНЫЙ УРОВЕНЬ НАЦЕНКИ, а также оптовые цены на медикаменты при покупке от трех единиц одного товара- главные преимущества работы Аптек оптовых цен.

Наша задача - удовлетворить потребность каждого покупателя в средствах лечения и профилактики заболеваний.";;;;;"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">

ШИРОКИЙ АССОРТИМЕНТ ЛЕКАРСТВ, товаров медицинского назначения, медицинской техники, товаров для здоровья, детского питания и лечебной косметики-предоставляет максимальные возможности для удовлетворения потребностей всех наших клиентов.

В наших аптеках в наличии редкие и специфические препараты, которые требуют особых условий хранения, а также есть возможность индивидуального заказа медикаментов.

Аптеки оптовых цен - ГАРАНТИРУЮТ КАЧЕСТВО медикаментов и товаров для здоровья. Мы сотрудничаем только с проверенными дистрибьюторами и поставщиками лекарственных препаратов. Наличие собственного современного логистического центра позволяет обеспечивать надлежащие условия хранения и оперативную доставку медикаментов в Аптеки оптовых цен.

Вся поставляемая продукция сертифицирована, имеет регистрацию МОЗ Украины. Строго соблюдаются сроки реализации и условия хранения лекарств.

В аптеках оптовых цен работают только квалифицированные провизора и фармацевты, которые всегда готовы помочь сориентироваться в разнообразии отечественных и импортных препаратов, предоставить качественную консультацию. Персонал Аптек оптовых цен регулярно проходит курсы повышения квалификации, а также тестирование знаний на внутренних тренингах и семинарах.

Операторы собственного call-центра всегда готовы предоставить информацию о наличии медикаментов и их заказа в Аптеках оптовых цен, а также дать исчерпывающие ответы на вопросы адресованные нашей сети.

</div>
</div>
</div>
</div>";;;;;;;;;;;;;;
«Аптека низких цен» (Аптека);"«Аптека низких цен» и «Социальный проект «Аптека «Благодия» — сеть аптек, основанная в 2000 г., сегодня представляет собой команду профессионалов, во главе которой стоят высококвалифицированные топ-менеджеры, имеющие за плечами бесценный опыт успешного создания, а также развития крупных аптечных сетей. Первая аптека была открыта в Запорожье, а сегодня спустя всего 13 лет, наша сеть насчитывает более двухсот аптек.

Сегодня можно смело говорить о том, что сеть аптек «Аптека низких цен» — это один из самых ярких и успешных брендов отечественного аптечного сектора, развитие которого осуществляется динамично и уверенно. Наш фирменный логотип можно увидеть в Киеве, Харькове, Одессе, Днепропетровске, Запорожье и других городах Украины.

Сеть аптек представлена широким выбором форматов, начиная от аптечных пунктов в областных центрах, и продолжая имиджевыми аптеками, расположенными в столице, способными удовлетворить даже самых взыскательных потребителей.

Широкий ассортимент сети аптек Аптека низких цен представлен более 16 000 наименований высококачественной продукции, которая соответствует самым высоким стандартам";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_5333fe5f72e8a.png;г. Чернигов, просп. Победы, 93;https://goo.gl/maps/zbbo565eGoJ3dw5J8;;"«Аптека низких цен» и «Социальный проект «Аптека «Благодия» — сеть аптек, основанная в 2000 г., сегодня представляет собой команду профессионалов, во главе которой стоят высококвалифицированные топ-менеджеры, имеющие за плечами бесценный опыт успешного создания, а также развития крупных аптечных сетей. Первая аптека была открыта в Запорожье, а сегодня спустя всего 13 лет, наша сеть насчитывает более двухсот аптек.

Сегодня можно смело говорить о том, что сеть аптек «Аптека низких цен» — это один из самых ярких и успешных брендов отечественного аптечного сектора, развитие которого осуществляется динамично и уверенно. Наш фирменный логотип можно увидеть в Киеве, Харькове, Одессе, Днепропетровске, Запорожье и других городах Украины.

Сеть аптек представлена широким выбором форматов, начиная от аптечных пунктов в областных центрах, и продолжая имиджевыми аптеками, расположенными в столице, способными удовлетворить даже самых взыскательных потребителей.

Широкий ассортимент сети аптек Аптека низких цен представлен более 16 000 наименований высококачественной продукции, которая соответствует самым высоким стандартам";;;;;"Мы предлагаем:
? Качество товаров — поставки от производителей и национальных дистрибьюторов.
? Сервис — индивидуальный подход к каждому клиенту, консультации в зале, профессиональное обслуживание, подтверждение репутации настоящего провизора.
? Полный ассортимент для гармонии и здоровья всей семьи, с учетом особенности потребностей клиентов каждой аптеки, каждого района и региона.
? Выгодные предложения и программы для покупателей: акции с подарками, тестинг-компании, косметические мастер-классы, эксклюзивные тематические проекты, ко-брендинговые программы по предоставлению услуг для сохранения и поддержания здоровья.
? Цены — честные и доступные для всех.";"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">В сети работает около 1500 человек, 95 % сотрудников имеют высшее фармацевтическое образование.</div>
</div>
</div>
</div>";;;;;;;;;;;;;
Аптека Копійка;;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_57d794a2e2751.png;г. Чернигов, просп. Победы, 184;https://goo.gl/maps/Wx9kYrkRucfCJMEn7;;;;;;;"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">Аптека - цены как в internet!</div>
</div>
</div>
</div>";;;;;;;;;;;;;;
"ПП ""Світ здоров'я - ЗЖС"" (Мережа аптек)";"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Мережа аптек ""Світ здоров'я "". Все, що потрібно для вашого здоров'я!</div>
</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_57f5f8560c8bc.png;г. Чернигов, ул. Казацкая (ул. 50 лет ВЛКСМ), 48 адміністрація;https://goo.gl/maps/o64AL4vF6dZeWKtC6;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Мережа аптек ""Світ здоров'я "". Все, що потрібно для вашого здоров'я!</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
"Аптека №5 - Мережа аптек ""Світ здоров'я"" (Аптека)";"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Все, що потрібно для вашого здоров'я!</div>
</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_57f5f8560c8bc.png;г. Чернигов, ул. Доценко, 17;https://goo.gl/maps/XwkRAPdBfznz9c6J7;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Все, що потрібно для вашого здоров'я!</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
"Аптека №4 - Мережа аптек ""Світ здоров'я"" (Аптека)";"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Все, що потрібно для вашого здоров'я!</div>
</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_57f5f8560c8bc.png;г. Чернигов, просп. Мира, 44;https://goo.gl/maps/CRSoB6fuhBQT8eucA;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Все, що потрібно для вашого здоров'я!</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
"Аптечний пункт №2 аптеки №2 - Мережа аптек ""Світ здоров'я"" (Аптека)";"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Все, що потрібно для вашого здоров'я!</div>
</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_57f5f8560c8bc.png;г. Чернигов, ул. 1-го Мая, 172 Роддом, 3 этаж;https://goo.gl/maps/uK4cCKejimoQ5hNj8;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Все, що потрібно для вашого здоров'я!</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
"Аптечний пункт №3 аптеки №2 - Мережа аптек ""Світ здоров'я"" (Аптека)";"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Все, що потрібно для вашого здоров'я!</div>
</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/10/th_file_57f5f8560c8bc.png;г. Чернигов, ул. Шевченко, 114 Районная больница, 1 этаж;https://goo.gl/maps/bDmb3x2UhxjuEbSM9;;"<div id=""buAbout"">
<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Все, що потрібно для вашого здоров'я!</div>
</div>
</div>
</div>";;;;;;;;;;;;;;;;;;;
Мед-Сервис (Аптека);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_4d5d014886c61.png;"г. Чернигов, ул. 77-й Гвардейской дивизии, 1а ТРЦ ""Hollywood"", 1й этаж";https://goo.gl/maps/f5oLA2g3zvFzaogt9;;;;;;;"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">Аптека</div>
</div>
</div>
</div>";;;;;;;;;;;;;;
«Бажаємо здоров`я» (Аптека № 41);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_4bf4ffaa9470c.jpg;г. Чернигов, ул. Доценко, 17;https://goo.gl/maps/Ezu3yi6C8XmX4ZiQ8;;;;;;;;;;;;;;;;;;;;;
«Бажаємо здоров`я» (Аптека № 35);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_4bf4ffaa9470c.jpg;г. Чернигов, ул. Казацкая (ул. 50 лет ВЛКСМ), 3А;https://goo.gl/maps/Sk25sGzHYuHZai3C6;;;;;;;;;;;;;;;;;;;;;
«Бажаємо здоров`я» (Аптека № 36);;https://24city.cn.ua/wp-content/uploads/2020/10/th_file_4bf4ffaa9470c.jpg;г. Чернигов, ул. Текстильщиков, 15;https://goo.gl/maps/HfAZAQCmf3dmhkFU7;;;;;;;;;;;;;;;;;;;;;
